"* Required Fields","* Vajalikud väljad"
"Customer Groups","Kliendigrupid"
"Customer Information","Kliendi info"
"Customer Login","Kliendi login"
"Customer Since","Klient alates"
"Customer View","Kliendi vaade"
"Customer collection expected","Customer collection expected"
"Customer doesn't have primary billing address","Customer doesn't have primary billing address"
"Customer email already exists","Customer email already exists"
"Customer website id must be specified, when using website scope.","Customer website id must be specified, when using website scope."
"Customers","Kliendid"
"Customers Only","Ainult kliendid"
"Customers Section","Customers Section"
"DD","DD"
"Date","Kuupäev"
"Date Added","Lisamise kuupäev"
"Date of Birth","Sünnikuupäev"
"Date of Birth is required.","Date of Birth is required."
"Day","Day"
"Days in Wishlist","Päevi soovikorvis"
"Default Addresses","Vaikimisi aadressid"
"Default Billing Address","Vaikimisi maksja"
"Default Email Domain","Vaikimisi E-kirii domeen"
"Default Group","Vaikimisi grupp"
"Default Shipping Address","Vaiketarne aadress"
"Default Welcome Email","Default Welcome Email"
"Delete","Kustuta"
"Delete Address","Kustuta"
"Delete Customer","Kustuta klient"
"Delete Customer Group","Kustuta kliendigrupp"
"Delete customer","Delete customer"
"Delete customer address","Delete customer address"
"Deleted Stores","Kustuta poed"
"Details","Detailid"
"Disabled","Keelatud"
"Edit","Muuda"
"Edit Account Info","Edit Account Info"
"Edit Account Information","Muuda konto infot"
"Edit Address","Muuda"
"Edit Address Entry","Muuda aadressi kirjet"
"Edit Customer Group ""%s""","Muuda kliendi grupi ""%s"""
"Edit Customer Groups","Muuda kliendi gruppe"
"Edit Customer's Address","Muuda kliendi aadressi"
"Edit Group","Muuda gruppi"
"Edit Newsletter Subscription","Edit Newsletter Subscription"
"Edit Newsletters","Muuda uudiskirju"
"Edit Personal Information","Edit Personal Information"
"Email","E-posti aadress"
"Email Address","E-posti aadress"
"Email Sender","e-kirja saatja"
"Entity collection is expected","Entity collection is expected"
"Error during retrieval of option value: %s","Error during retrieval of option value: %s"
"Ext. Price","Ext. Price"
"Failed to confirm customer account.","Failed to confirm customer account."
"Fax","Faks"
"First Name","Eesnimi"
"First name can't be empty","First name can't be empty"
"Forgot Email Sender","Salasõna meenutuse saatja"
"Forgot Email Template","Salasõna meenutuse põhi"
"Forgot Your Password?","Salasõna läks meelest?"
"From your My Account Dashboard you have the ability to view a snapshot of your recent account activity and update your account information. Select a link below to view or edit information.","Minu konto avalehel on Teil võimalus saada lühiülevaate oma viimastest tegevustest ja uuendada infot."
"General Subscription","Üldine tellimus"
"Global","Globaalne"
"Go to Address Book","Go to Address Book"
"Grand Total","Kogusumma"
"Grand Total: %s","Grand Total: %s"
"Group","Grupp"
"Group ""%s"" can not be deleted","Group ""%s"" can not be deleted"
"Group Information","Grupi info"
"Group Name","Grupi nimi"
"Guest","Külaline"
"HTML","HTML"
"Hello, %s!","Tere, %s!"
"ID","ID"
"IP Address","IP aadress"
"If you have an account with us, please log in.","Registreerunud kliendid saavad siseneda siit."
"Invalid attribute option specified for attribute %s (%s), skipping the record","Invalid attribute option specified for attribute %s (%s), skipping the record"
"Invalid attribute set specified, skipping the record","Invalid attribute set specified, skipping the record"
"Invalid current password","Kehtetu praegune salasõna"
"Invalid customer data","Kehtetud kliendi andmed"
"Invalid email address","Invalid email address"
"Invalid email address ""%s""","Invalid email address ""%s"""
"Invalid login or password.","Vale kasutajanimi või parool."
"Invalid option id specified for %s (%s), skipping the record","Invalid option id specified for %s (%s), skipping the record"
"Invalid store specified, skipping the record","Invalid store specified, skipping the record"
"Items Order","Items Order"
"Last 5 Orders","Last 5 Orders"
"Last Activity","Viimane tegevus"
"Last Name","Perekonnanimi"
"Last Url","Viimane URL"
"Last Viewed Items","Last Viewed Items"
"Last date subscribed","Last date subscribed"
"Last date unsubscribed","Last date unsubscribed"
"Last name can't be empty","Last name can't be empty"
"Leave empty for default (15 minutes).","Leave empty for default (15 minutes)."
"Leave empty for default (2). Valid range: 1-4","Leave empty for default (2). Valid range: 1-4"
"Lifetime Sales","Eluaja müük"
"Log In","Sisene"
"Log Out","Välju"
"Log in or Create an Account","Sisene või loo konto"
"Login","Logi sisse"
"Login Information","Kontoinfo"
"Login and password are required","Login and password are required"
"Login or Create an Account","Sisene või loo konto"
"M.I.","M.I."
"MM","MM"
"Manage Addresses","Halda aadresse"
"Manage Customers","Halda kliente"
"Missing email, skipping the record","Missing email, skipping the record"
"Missing firstname, skipping the record","Missing firstname, skipping the record"
"Missing lastname, skipping the record","Missing lastname, skipping the record"
"Month","Month"
"My Account","Kontohaldus"
"My Account Dashboard","My Account Dashboard"
"My Dashboard","Töölaud"
"My Orders","Minu tellimused"
"My Reviews","Minu arvustused"
"My Tags","My Tags"
"My Wishlist","Soovikorv"
"Name","Nimi"
"Name and Address Options","Nime ja aadressi seaded"
"Never","Mitte kunagi"
"New Address","Uus aadress"
"New Address Entry","Uus aadressi kirje"
"New Customer","Uus klient"
"New Customer Address","Uus kliendi aadress"
"New Customer Group","Uus kliendi grupp"
"New Customer Groups","Uued kliendigrupid"
"New Customers","Uued kliendid"
"New Group","Uus grupp"
"New Password","Uus salasõna"
"New account","Uus konto"
"New account confirmation key","New account confirmation key"
"New account confirmed","New account confirmed"
"New password","New password"
"Newsletter","Uudiskiri"
"Newsletter Finish","Uudiskirja lõpp"
"Newsletter Information","Uudiskirja info"
"Newsletter Received","Uudiskiri saadud"
"Newsletter Start","Uudiskirja algus"
"Newsletter Subscription","Newsletter Subscription"
"Newsletters","Uudiskirjad"
"No Items Found","Tooteid ei leitud"
"No Newsletter Found","Uudiskirja ei leitud"
"No item specified.","No item specified."
"No product collections found","No product collections found"
"Not Sent","Ei ole saadetud"
"Not confirmed, can login","Not confirmed, can login"
"Not confirmed, cannot login","Not confirmed, cannot login"
"Number of lines in a street address ","Ridade arv aadressis"
"Offline","Offline"
"Online","Online"
"Online Customers","Hetkel poes"
"Online Customers Options","Online Customers Options"
"Online Minutes Interval","Online Minutes Interval"
"Order #","Tellimus nr"
"Order #%s (%s)","Order #%s (%s)"
"Order List...","Order List..."
"Order Total","Tellimuse summa"
"Orders","Tellimused"
"PDF","PDF"
"Password","Salasõna"
"Password Management","Salasõnade haldamine"
"Password Options","Salasõna valikud"
"Password can't be empty","Password can't be empty"
"Password fields can't be empty.","Password fields can't be empty."
"Password forgotten","Password forgotten"
"Password minimal length must be more %s","Password minimal length must be more %s"
"Password must have at least 6 characters. Leading or trailing spaces will be ignored.","Password must have at least 6 characters. Leading or trailing spaces will be ignored."
"Paused","Peatatud"
"Payment Method","Payment Method"
"Pending","Lahtine"
"Per Website","Veebisaidi kohta"
"Personal Information","Isikuandmed"
"Please enter your email below and we'll send you a new password.","Please enter your email below and we'll send you a new password."
"Please enter your email below and we'll send you confirmation link for it.","Please enter your email below and we'll send you confirmation link for it."
"Please enter your email.","Palun sisestage oma e-kirja aadress"
"Please make sure your passwords match.","Palun sisestage ühesugused salasõnad"
"Please select","Vali"
"Please select region, state or province","Vali maakond"
"Please, check your e-mail for confirmation key.","Please, check your e-mail for confirmation key."
"Prefix","Prefix"
"Prefix dropdown options","Prefiksi valikuvariandid"
"Price","Hind"
"Primary Billing Address","Primary Billing Address"
"Primary Shipping Address","Primary Shipping Address"
"Problem saving the collection, aborting. Error: %s","Problem saving the collection, aborting. Error: %s"
"Product","Toode "
"Product ID","Toote ID"
"Product Name","Toote nimetus"
"Product Reviews","Toote kommentaarid"
"Product Tags","Toote Märksõnad"
"Product name","Toote nimetus"
"Purchase On","Ostetud kuupäeval"
"Purchased at","Purchased at"
"Qty","Kogus"
"Recent Orders","Äsjased tellimused"
"Records for ""","Records for """
"Refunded","Tagasi makstud"
"Registered Customers","Registreerunud kliendid"
"Remove","Eemalda"
"Require Emails Confirmation","Require Emails Confirmation"
"Retrieve address data","Retrieve address data"
"Retrieve address info","Retrieve address info"
"Retrieve customer addresses","Retrieve customer addresses"
"Retrieve customer data","Retrieve customer data"
"Retrieve customer's groups","Retrieve customer's groups"
"Retrieve customers","Retrieve customers"
"Retrieve customers info","Retrieve customers info"
"Retrieve your confirmation link here","Retrieve your confirmation link here"
"Retrieve your password here","Taasta oma salasõna siin"
"SKU","Laokood"
"Sales Statistics","Müügi statistika"
"Save","Salvesta"
"Save Address","Salvesta aadress"
"Save And Continue Edit","Save And Continue Edit"
"Save Customer","Salvesta klient"
"Save Customer Group","Salvesta kliendigrupp"
"Save Password","Salvesta salasõna"
"Saved ","Saved "
"Semicolon (;) separated values.<br/>Put semicolon in the beginning for empty first option.<br/>Leave empty for open text field.","Semicolon (;) separated values.<br/>Put semicolon in the beginning for empty first option.<br/>Leave empty for open text field."
"Send Welcome Email after Confirmation","Send Welcome Email after Confirmation"
"Send auto-generated password","Saada automaatselt genereeritud salasõna"
"Send confirmation link","Send confirmation link"
"Send welcome email","Send welcome email"
"Sending","Saadan"
"Sent","Saadetud"
"Session Start Time","Sessiooni algusaeg"
"Set as Default Billing Address","Pane vaikimisi maksja aadressiks"
"Set as Default Shipping Address","Pane vaikimise kohaletoimetamise aadressiks"
"Share Customer Accounts","Jaga kliendikontosid"
"Ship to First name","Ship to First name"
"Ship to Last name","Ship to Last name"
"Shipped to First Name","Lähetatud eesnimele"
"Shipped to Last Name","Lähetatud perenimele"
"Shipped to Name","Lähetatud nimele"
"Shipping Information","Shipping Information"
"Shipping Method","Shipping Method"
"Shopping Cart","Ostukorv"
"Shopping Cart - %d item(s)","Ostukorv - %d toode(t)"
"Show Tax/VAT number","Show Tax/VAT number"
"Show date of birth","Näita sünnikuupäeva"
"Show middle name (initial)","Näita keskmist nime (tähte)"
"Show prefix","Näita prefiksit"
"Show suffix","Näita suffiksit"
"Sign Up for Newsletter","Telli uudiskiri"
"Sign up for our newsletter","Sign up for our newsletter"
"Skip import row, required field ""%s"" not defined","Skip import row, required field ""%s"" not defined"
"Skip import row, website ""%s"" field not exists","Skip import row, website ""%s"" field not exists"
"State/Province","Maakond"
"Status","Staatus"
"Store","Pood"
"Store View","Poe vaade"
"Street Address","Tänav"
"Street Address ","Street Address "
"Subject","Teema"
"Submit","Edasta"
"Subscribe","Subscribe"
"Subscribe to newsletter","Subscribe to newsletter"
"Subscribed to Newsletter?","Oled uusikirja tellinud?"
"Suffix","Suffix"
"Suffix dropdown options","Suffiksi valikuvariandid"
"TAX/VAT number is required.","TAX/VAT number is required."
"Tag Name","Märksõna"
"Tax Class","Maksuklass"
"Tax class","Tax class"
"Tax/VAT number","KMKR number"
"Telephone","Telefon"
"Text","Tekst"
"Text One Line","Tekst üks rida"
"Thank you for registering with %s","Täname teid registreerimise eest! %s"
"The address does not belong to this customer","The address does not belong to this customer"
"The address was successfully deleted","The address was successfully deleted"
"The address was successfully saved","The address was successfully saved"
"The suffix that goes after name (Jr., Sr., etc.)","The suffix that goes after name (Jr., Sr., etc.)"
"The title that goes before name (Mr., Mrs., etc.)","The title that goes before name (Mr., Mrs., etc.)"
"There are no items in customer's wishlist at the moment","Kliendi soovikorvis ei ole hetkel tooteid"
"There are no items in customer's shopping cart at the moment","There are no items in customer's shopping cart at the moment"
"There was an error while deleting the address","There was an error while deleting the address"
"This Email will be sent instead of Default Welcome Email, after Account Confirmation.","This Email will be sent instead of Default Welcome Email, after Account Confirmation."
"This account is not confirmed.","This account is not confirmed."
"This customer has no saved addresses.","Kliendil ei ole salvestatud aadresse."
"This e-mail does not require confirmation.","This e-mail does not require confirmation."
"This email address was not found in our records","This email address was not found in our records"
"This is My Primary %s Address","This is My Primary %s Address"
"To Cart","Ostukorvi"
"Total","Kokku"
"Type","Tüüp"
"Unknown","Teadmata"
"Unsubscribe from newsletter","Tühista uudiskirja tellimus"
"Update","Uuenda"
"Update customer address data","Update customer address data"
"Update customer data","Update customer data"
"Use as My Primary %s Address","Use as My Primary %s Address"
"Use as my default billing address","Kasuta minu vaikimisi makse aadressina"
"Use as my default shipping address","Kasuta minu vaikimisi kohaletoimetamise aadressina"
"User description","Kasutaja kirjeldus"
"View","Vaata"
"View Order","Vaata tellimust"
"View Order List","View Order List"
"Visible In","Nähtav"
"Visitor","Külastaja"
"Visitors Only","Ainult külastajad"
"Website","Veebisait"
"Welcome Email","Welcome Email"
"Wishlist","Soovikorv"
"Wishlist - %d item(s)","Soovikorv - %d toode(t)"
"Wrong confirmation key.","Wrong confirmation key."
"Wrong customer account specified.","Wrong customer account specified."
"Wrong email.","Wrong email."
"Wrong region id by selected country","Wrong region id by selected country"
"Wrong transactional account email type.","Wrong transactional account email type."
"XML","XML"
"YYYY","YYYY"
"Year","Year"
"You are currently not subscribed to any newsletter.","Te pole hetkel tellinud ühtegi uudiskirja."
"You are currently not subscribed to our newsletter","You are currently not subscribed to our newsletter"
"You are currently subscribed to 'General Subscription'.","Te olete preagu tellinud Üldtellimuse"
"You are currently subscribed to our newsletter","You are currently subscribed to our newsletter"
"You are currently subscribed to our newsletter.","Te olete meie uudiskirja tellija"
"You have been successfully logged out and will be redirected to our homepage in 5 seconds.","You have been successfully logged out and will be redirected to our homepage in 5 seconds."
"You have no additional address entries in your address book.","Teil ei ole lisa-aadresse"
"You have no additional entries in your address book.","Teil ei ole lisa-aadresse"
"You have no default billing address in your address book.","Te ei ole määranud vaikimisi maksja andmeid"
"You have no default shipping address in your address book.","Te ei ole määranud vaikimisi kohaletoimetamise aadressi"
"You have no primary entries in your address book.","You have no primary entries in your address book."
"You have not set a primary billing address.","You have not set a primary billing address."
"You have not set a primary shipping address.","You have not set a primary shipping address."
"You have placed no orders yet.","Te ei ole tellimust veel esitanud."
"You have placed no products yet.","Te ei ole veel paigutanud ühtegi toodet"
"You're now Logged Out","You're now Logged Out"
"Your account balance is: %s","Teie konto saldo on: %s"
"ZIP","Postiindeks"
"ZIP/Post Code","Postiindeks"
"ZIP/Postal Code","Postiindeks"
"Zip/Postal Code","Postiindeks"
"n/a","n/a"
"or","või"
"Please enter your email below and we'll send you a new password.","Please enter your email below and we'll send you a new password."
"First name can't be empty","First name can't be empty"
"Last name can't be empty","Last name can't be empty"
"Password can't be empty","Password can't be empty"
"My Account","Kontohaldus"
"Log In","Sisene"
"New Customers","Uued kliendid"
"By creating an account with our store, you will be able to move through the checkout process faster, store multiple shipping addresses, view and track your orders in your account and more.","Luues konto saate vormistada oste kiiremini, salvestada kohaletoimetamise aadresse, hoida silm peal oma tellimustel ja palju muud."
"Registered Customers","Registreerunud kliendid"
"If you have an account with us, please log in.","Registreerunud kliendid saavad siseneda siit."
"Email Address","Email Address"
"Password","Password"
"* Required Fields","* Required Fields"
"Forgot Your Password?","Salasõna läks meelest?"
"Retrieve your password here","Retrieve your password here"
"Please enter your email below and we'll send you a new password.","Please enter your email below and we'll send you a new password."
"Back to Login","Back to Login"
"Submit","Submit"
"My Dashboard","Töölaud"
"From your My Account Dashboard you have the ability to view a snapshot of your recent account activity and update your account information. Select a link below to view or edit information.","Töölaua abil on võimalik saada ülevaate oma viimastest tegemistest ning uuendada kontoandmeid. Vaatamiseks või muutmiseks klõpsake allpoololevatele viidetele."
"Contact Information","Kontaktandmed"
"Address Book","Aadressid"
"Account Information","Account Information"
"Thank you for registering with %s","Täname teid registreerimise eest! %s"
"Newsletter Subscription","Newsletter Subscription"
"You have not set a default billing address.","Vaikemaksja aadress puudub."
"You have not set a default shipping address.","Vaiketarne aadress puudub."
"Login or Create an Account","Sisene või loo konto"
"Personal Information","Isikuandmed"
"Sign Up for Newsletter","Telli uudiskiri"
"You are currently not subscribed to any newsletter.","Te pole hetkel tellinud ühtegi uudiskirja."
"Default Shipping Address","Vaiketarne aadress"
"Login","Login"
"Invalid login or password.","Invalid login or password."
"Edit Account Information","Edit Account Information"
"Log Out","Välju"
