"%s was successfully added to your shopping cart.","%s lisati ostukorvi."
"Fax","Faks"
"Forgot an Item?","Unustasid toote?"
"Forgot your password?","Unustasite oma salasõna?"
"Get a Quote","Saa pakkumine"
"Grand Total:","Kogusumma:"
"Grouped product image","Grouped product image"
"HTML","HTML"
"ID","ID"
"Incl. Tax","Incl. Tax"
"Invalid data","Invalid data"
"Invalid email address ""%s""","Invalid email address ""%s"""
"Invalid shipping method.","Invalid shipping method."
"Items","Tooted"
"Load customer quote error","Laadi kliendi pakkumuse viga"
"Loading next step...","Laen järgmist sammu..."
"Login","Logi sisse"
"Manage Checkout Terms and Conditions","Halda ostu vormistamise tingimusi"
"Maximum display Recently added item(s)","Viimati lisatud toodete maksimaalne kuvatav kogus"
"Maximum qty allowed for Shipping to multiple addresses is %s","Maksimaalne lubatud kogus kohaletoimetamiseks mitmele aadressile on %"
"Move to Wishlist","Liiguta soovikorvi"
"My Account","Kontohaldus"
"My Cart","Ostukorv"
"My Cart (%s item)","Minu ostukorv (%s toode)"
"My Cart (%s items)","Minu ostukorv (%s toodet)"
"My Cart Link","Ostukorvi viide"
"New Address","Uus aadress"
"New Condition","New Condition"
"Order #","Tellimus nr"
"Order Review","Tellimuse ülevaade"
"Order Success","Edukas tellimus"
"Other items in your order","Other items in your order"
"Password","Salasõna"
"Payment Failed Email Reciever","Ebaõnnestunud maksest teavitatav"
"Payment Failed Email Sender","Ebaõnnestunud maksest teavitaja"
"Payment Failed Emails","Sõnum ebaõnnestunud maksest"
"Payment Failed Template","E-posti põhi ebaõnnestunud maksest teavitamiseks"
"Payment Information","Makse info"
"Payment Method","Makseviis"
"Payment method is not defined","Makseviis pole määratud"
"Place Order","Esita tellimus"
"Please <a href=""%s"">continue shopping</a>.","Please <a href=""%s"">continue shopping</a>."
"Please agree to all Terms and Conditions before placing the order.","Please agree to all Terms and Conditions before placing the order."
"Please agree to all Terms and Conditions before placing the orders.","Please agree to all Terms and Conditions before placing the orders."
"Please enter a valid zip code. For example 90602 or 90602-1234.","Please enter a valid zip code. For example 90602 or 90602-1234."
"Please log in below:","Palun logi sisse:"
"Please select region, state or province","Please select region, state or province"
"Please select shipping address for applicable items","Please select shipping address for applicable items"
"Please select shipping methods for all addresses","Palun vali kohaletoimetamise viisid kõigile aadressidele"
"Price","Hind"
"Proceed to Checkout","Vormista ost"
"Product","Toode"
"Product Name","Toote nimetus"
"Product does not exist","Product does not exist"
"Qty","Kogus"
"Quote Lifetime (days)","Määra eluiga (päevades)"
"Recently added item(s)","Viimati lisatud tooted"
"Register","Registreeru"
"Register and save time!","Registreeru ja hoia aega kokku"
"Register to Create an Account","Registreeru konto loomiseks"
"Register with us for future convenience:","Registreeru meie juures mugavamaks ostmiseks:"
"Remove","Eemalda"
"Remove Item","Eemalda toode"
"Remove Product","Eemalda toode"
"Remove item","Eemalda toode"
"Review Order","Tellimuse ülevaade"
"Review Order - %s","Tellimuse ülevaade - %s"
"Sales","Sales"
"Save Condition","Save Condition"
"Save in address book","Salvesta aadressraamatus"
"Select Address","Vali aadress"
"Select Addresses","Vali aadressid"
"Select Shipping Method","Vali kohaletoimetamise viis"
"Select State/Province...","Vali maakond"
"Select a billing address from your address book or enter a new address.","Vali maksja aadress oma aadressiraamatust või sisesta uus aadress"
"Select a shipping address from your address book or enter a new address.","Vali kohaletoimetamise aadress oma aadressiraamatust või sisesta uus aadress"
"Send Payment Failed Email Copy Method","Ebaõnnestunud maksest teatekoopia saatmise viis"
"Send Payment Failed Email Copy To","Saada teatekoopia ebaõnnestunud maksest aadressitele"
"Send to","Send to"
"Ship to Multiple Addresses","Tarni mitmele aadressile"
"Ship to different address","Läheta erinevale aadressile"
"Ship to this address","Läheta sellele aadressile"
"Shipping Address","Tarneaadress"
"Shipping Information","Tarneandmed"
"Shipping Method","Tarneviis"
"Shipping Methods","Tarneviisid"
"Shipping method has not been selected yet","Tarneviis pole veel valitud"
"Shipping selection is not applicable","Shipping selection is not applicable"
"Shipping to","Shipping to"
"Shopping Cart","Ostukorv"
"Shopping Cart Sidebar","Ostukorv kõrvaltulbas"
"Shopping Cart is Empty","Ostukorv on tühi"
"Show Content as","Show Content as"
"Some of the products you requested are not available in the desired quantity","Some of the products you requested are not available in the desired quantity"
"Some of the products you requested are unavailable","Some of the products you requested are unavailable"
"Sorry, Onepage Checkout is disabled.","Sorry, Onepage Checkout is disabled."
"Sorry, guest checkout is not enabled. Please try again or contact store owner.","Sorry, guest checkout is not enabled. Please try again or contact store owner."
"Sorry, no quotes are available for this order at this time.","Sorry, no quotes are available for this order at this time."
"State/Province","Maakond"
"Status","Status"
"Store View","Poevaade"
"Street Address","Tänav"
"Street Address ","Street Address "
"Submitting order information...","Tellimuse andmete esitamine..."
"Subtotal","Summa"
"Telephone","Telefon"
"Terms and Conditions","Terms and Conditions"
"Terms and Conditions Information","Terms and Conditions Information"
"Terms and conditions","Terms and conditions"
"Text","Text"
"Thank you for your purchase!","Täna ostu eest!"
"There are <a href=""%s""><strong>%s items</strong></a> in your cart.","There are <a href=""%s""><strong>%s items</strong></a> in your cart."
"There is <a href=""%s""><strong>1 item</strong></a> in your cart.","Ostukorvis on <a href=""%s""><strong>1 toode</strong></a>."
"There is already a customer registered using this email address","There is already a customer registered using this email address"
"There was an error processing your order. Please contact us or try again later.","Viga Teie tellimuse töötlemisel. Palun prooviga uuesti mõne aja pärast."
"This condition no longer exists","This condition no longer exists"
"Total","Total"
"Total for this address","Kokku sellele aadressile"
"Unit Price","Ühiku hind"
"Update Qty &amp; Addresses","Uuenda kogus &amp; aadressid"
"Update Shopping Cart","Uuenda ostukorvi"
"Update Total","Uuenda summa"
"Use Billing Address","Kasuta maksja andmeid"
"We are processing your order and you will soon receive an email with details of the order. Once the order has shipped you will receive another email with a link to track its progress.","Me töötleme Teie tellimust ja varsti saate e-kirja tellimuse üksikasjadega. Kui tellimus on lähetatud saate e-kirja lingiga tellimuse jälgimiseks."
"You have no items in your shopping cart.","Ostukorvis pole tooteid."
"You will receive an order confirmation email with details of your order and a link to track its progress.","Te saate tellimuse kinnituse e-kirja teel koos tellimuse üksikasjadega ja lingiga tellimuse jälgimiseks."
"Your Checkout Progress","Teie ostu vormistamise edenemine"
"Your order # is: %s","Tellimuse number on: %s"
"Your order # is: <a href=""%s"">%s</a>","Your order # is: <a href=""%s"">%s</a>"
"Your order has been received","Teie tellimus on vastu võetud"
"Your order number is ","Your order number is "
"Zip/Postal Code","Postiindeks"
"osCommerce Orders","osCommerce Orders"
"separate by "",""","eralda komadega"
"My Cart","Ostukorv"
"You have no items in your shopping cart.","Ostukorvis pole tooteid."
"Checkout","Vormista ost"
"Shopping Cart is Empty","Ostukorv on tühi"
"Please <a href=""%s"">continue shopping</a>.","Please <a href=""%s"">continue shopping</a>."
